invoice_number,date,origin,short_address,freight
MUMCIN270049045,2026-08-07,Thane,Ambernath,5073
MUMCIN270048709,2026-08-05,Thane,Kalyan,5073
MUMCIN270048796,2026-08-05,Thane,Bhayander E,4509
MUMCIN270050289,2026-08-11,Thane,Ambernath,5073
MUMCIN270048887,2026-08-06,Bhiwandi,Ambernath,5073
MUMCIN270049271,2026-08-07,Bhiwandi,Kalyan,3844
MUMCIN270048598,2026-08-05,Bhiwandi,Vasai,5073
MUMCIN270049731,2026-08-09,Bhiwandi,Vasai,6509
292264017722,2026-08-12,Bhiwandi,Bhiwandi,4327
MUMCIN270045533,2026-08-01,Bhiwandi,Kharghar,5073
MUMCIN270045793,2026-08-02,Bhiwandi,Kharghar,5073
MUMCIN270048514,2026-08-05,Bhiwandi,Kharghar,5073
MUMCIN270049077,2026-08-07,Bhiwandi,Kharghar,5073
MUMCIN270048183,2026-08-04,Bhiwandi,Kalyan,5073
MUMCIN270045468,2026-08-01,Thane,Kalyan,5073
MUMCIN270051368,2026-08-16,Bhiwandi,BHIWANDI,5073
MUMCIN270053426,2026-08-23,Bhiwandi,Kopar Khairane,0
MUMCIN270049081,2026-08-07,Bhiwandi,SHREE SWAMI COLDDRINKS,0
MUMCIN270050102,2026-08-10,Bhiwandi,Ambernath,5073
